ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
ED,DUK,2017-09-08,2017-09-28,short_A_long_B,0.01625425668499436,0.006254256684994361,0.01,True,20,20,2016-09-01,2017-09-01
ED,DUK,2017-10-13,2017-10-23,long_A_short_B,0.015671944795036197,0.0056719447950361965,0.01,True,10,20,2016-09-01,2017-09-01
ED,DUK,2017-10-26,2017-10-31,short_A_long_B,0.0044419325956845945,-0.005558067404315406,0.01,True,5,20,2016-09-01,2017-09-01
ED,DUK,2017-11-03,2017-11-20,short_A_long_B,0.01568817518672727,0.005688175186727271,0.01,True,17,20,2016-09-01,2017-09-01
ED,DUK,2017-11-27,2018-02-28,short_A_long_B,-0.006091909303815424,-0.016091909303815426,0.01,False,93,20,2016-09-01,2017-09-01
AEP,DUK,2017-09-13,2017-11-17,long_A_short_B,0.030628738577625825,0.020628738577625823,0.01,True,65,20,2016-09-01,2017-09-01
AEP,DUK,2017-11-30,2018-02-28,short_A_long_B,0.001906292077012206,-0.008093707922987794,0.01,False,90,20,2016-09-01,2017-09-01
ES,PNW,2017-09-06,2018-02-28,short_A_long_B,-0.04481709764874253,-0.054817097648742534,0.01,False,175,20,2016-09-01,2017-09-01
DUK,PEP,2017-10-30,2017-11-21,short_A_long_B,0.04042055013377954,0.03042055013377954,0.01,True,22,20,2016-09-01,2017-09-01
DUK,PEP,2017-11-30,2018-02-28,long_A_short_B,-0.08683805290784075,-0.09683805290784074,0.01,False,90,20,2016-09-01,2017-09-01
LNT,ED,2017-09-20,2017-12-06,short_A_long_B,0.01513451276422395,0.0051345127642239505,0.01,True,77,20,2016-09-01,2017-09-01
LNT,DUK,2017-09-18,2018-02-28,short_A_long_B,-0.029388893782285375,-0.03938889378228538,0.01,False,163,20,2016-09-01,2017-09-01
ATO,XEL,2017-09-06,2017-12-01,long_A_short_B,0.025386719700044358,0.015386719700044358,0.01,True,86,20,2016-09-01,2017-09-01
ATO,XEL,2018-01-26,2018-02-28,short_A_long_B,-0.028329852268302647,-0.03832985226830265,0.01,False,33,20,2016-09-01,2017-09-01
PCG,SRE,2017-10-03,2017-10-16,short_A_long_B,0.223011932280615,0.213011932280615,0.01,True,13,20,2016-09-01,2017-09-01
PCG,SRE,2017-10-26,2018-02-28,long_A_short_B,-0.22984739645976693,-0.23984739645976694,0.01,False,125,20,2016-09-01,2017-09-01
CMS,PCG,2017-09-08,2017-11-09,long_A_short_B,0.2215368420482482,0.21153684204824819,0.01,True,62,20,2016-09-01,2017-09-01
CMS,PCG,2017-11-14,2018-02-28,short_A_long_B,-0.12098615410286828,-0.1309861541028683,0.01,False,106,20,2016-09-01,2017-09-01
LNT,AEP,2017-09-11,2018-02-28,short_A_long_B,-0.0049603451308594115,-0.014960345130859412,0.01,False,170,20,2016-09-01,2017-09-01
ES,PPL,2017-09-15,2017-10-04,long_A_short_B,0.016661260884267892,0.006661260884267892,0.01,True,19,20,2016-09-01,2017-09-01
ES,PPL,2017-10-05,2018-02-28,short_A_long_B,-0.1703117184828986,-0.18031171848289862,0.01,False,146,20,2016-09-01,2017-09-01
LNT,SRE,2017-10-13,2018-02-28,short_A_long_B,0.04398053381411349,0.033980533814113485,0.01,False,138,20,2016-09-01,2017-09-01
CMS,SRE,2017-09-13,2017-10-18,long_A_short_B,0.042643974753342584,0.03264397475334258,0.01,True,35,20,2016-09-01,2017-09-01
CMS,SRE,2017-11-15,2018-01-11,short_A_long_B,0.00904336515441484,-0.0009566348455851605,0.01,True,57,20,2016-09-01,2017-09-01
CMS,SRE,2018-01-12,2018-02-28,long_A_short_B,-0.04688241236521895,-0.05688241236521895,0.01,False,47,20,2016-09-01,2017-09-01
LNT,PCG,2017-10-03,2017-10-12,long_A_short_B,0.09516617482443024,0.08516617482443024,0.01,True,9,20,2016-09-01,2017-09-01
LNT,PCG,2017-10-13,2018-02-28,short_A_long_B,-0.20015568962362662,-0.21015568962362663,0.01,False,138,20,2016-09-01,2017-09-01
CMS,XEL,2017-09-06,2017-11-08,long_A_short_B,0.0054290021608596195,-0.004570997839140381,0.01,True,63,20,2016-09-01,2017-09-01
KO,WEC,2017-09-20,2017-10-27,short_A_long_B,0.045448548371977315,0.03544854837197731,0.01,True,37,20,2016-09-01,2017-09-01
KO,WEC,2017-11-03,2017-12-19,long_A_short_B,0.0341484597872852,0.0241484597872852,0.01,True,46,20,2016-09-01,2017-09-01
KO,WEC,2017-12-20,2018-02-28,short_A_long_B,-0.020954634311113107,-0.03095463431111311,0.01,False,70,20,2016-09-01,2017-09-01
NWSA,NWS,2017-10-05,2018-03-29,short_A_long_B,-0.0014238668764459117,-0.011423866876445912,0.01,False,175,21,2016-10-03,2017-10-02
AEP,ED,2017-10-06,2017-10-24,short_A_long_B,0.017384320300904976,0.007384320300904976,0.01,True,18,21,2016-10-03,2017-10-02
AEP,ED,2017-11-02,2017-11-09,long_A_short_B,0.022579097552573257,0.012579097552573257,0.01,True,7,21,2016-10-03,2017-10-02
AEP,ED,2017-11-16,2017-12-11,short_A_long_B,0.02215864192852557,0.012158641928525568,0.01,True,25,21,2016-10-03,2017-10-02
AEP,ED,2018-01-08,2018-03-28,long_A_short_B,0.02627114359226601,0.01627114359226601,0.01,True,79,21,2016-10-03,2017-10-02
LNT,DUK,2017-10-04,2017-10-10,short_A_long_B,0.00632995837317929,-0.0036700416268207105,0.01,True,6,21,2016-10-03,2017-10-02
LNT,DUK,2017-11-10,2017-11-29,long_A_short_B,0.01675776136677909,0.006757761366779089,0.01,True,19,21,2016-10-03,2017-10-02
LNT,DUK,2017-12-07,2018-03-29,short_A_long_B,-0.03129487026574185,-0.04129487026574185,0.01,False,112,21,2016-10-03,2017-10-02
DUK,SRE,2017-10-06,2018-01-05,short_A_long_B,-0.001519499628191756,-0.011519499628191756,0.01,True,91,21,2016-10-03,2017-10-02
DUK,SRE,2018-01-11,2018-03-29,long_A_short_B,-0.06205142380539297,-0.07205142380539296,0.01,False,77,21,2016-10-03,2017-10-02
ES,PPL,2017-10-04,2018-03-29,short_A_long_B,-0.21378986385404108,-0.2237898638540411,0.01,False,176,21,2016-10-03,2017-10-02
CMS,ES,2017-10-10,2017-10-30,short_A_long_B,0.013147161297447196,0.003147161297447196,0.01,True,20,21,2016-10-03,2017-10-02
CMS,ES,2017-11-06,2017-11-20,long_A_short_B,0.026106056861528337,0.016106056861528335,0.01,True,14,21,2016-10-03,2017-10-02
CMS,ES,2017-12-18,2018-03-29,long_A_short_B,0.008621820740836728,-0.0013781792591632726,0.01,False,101,21,2016-10-03,2017-10-02
CMS,PCG,2017-10-06,2017-10-11,long_A_short_B,0.018174869868196053,0.008174869868196053,0.01,True,5,21,2016-10-03,2017-10-02
CMS,PCG,2017-10-12,2018-03-29,short_A_long_B,-0.28265578706709016,-0.29265578706709017,0.01,False,168,21,2016-10-03,2017-10-02
GOOGL,GOOG,2017-10-11,2018-03-29,short_A_long_B,0.01168938545192777,0.0016893854519277694,0.01,False,169,21,2016-10-03,2017-10-02
DTE,PNW,2017-10-10,2017-11-03,short_A_long_B,0.032211129228589375,0.022211129228589373,0.01,True,24,21,2016-10-03,2017-10-02
DTE,PNW,2017-11-10,2018-03-29,short_A_long_B,-0.0325659907922623,-0.0425659907922623,0.01,False,139,21,2016-10-03,2017-10-02
LNT,ED,2017-10-16,2017-10-24,short_A_long_B,0.02677530093585223,0.01677530093585223,0.01,True,8,21,2016-10-03,2017-10-02
LNT,ED,2017-11-02,2017-11-20,long_A_short_B,0.029282595733822636,0.019282595733822634,0.01,True,18,21,2016-10-03,2017-10-02
LNT,ED,2017-12-01,2018-03-29,long_A_short_B,0.03355429022473577,0.02355429022473577,0.01,True,118,21,2016-10-03,2017-10-02
LNT,SRE,2017-10-05,2018-01-12,short_A_long_B,0.01126418543917418,0.001264185439174179,0.01,True,99,21,2016-10-03,2017-10-02
LNT,SRE,2018-02-07,2018-03-29,long_A_short_B,0.012369774040784653,0.0023697740407846533,0.01,False,50,21,2016-10-03,2017-10-02
DUK,WEC,2017-10-04,2017-10-10,long_A_short_B,0.009073847029827942,-0.0009261529701720585,0.01,True,6,21,2016-10-03,2017-10-02
DUK,WEC,2017-10-16,2017-10-23,short_A_long_B,0.02251260274286726,0.01251260274286726,0.01,True,7,21,2016-10-03,2017-10-02
DUK,WEC,2017-10-26,2018-03-29,long_A_short_B,-0.04139209183903547,-0.051392091839035474,0.01,False,154,21,2016-10-03,2017-10-02
KO,WEC,2017-10-27,2018-01-09,long_A_short_B,0.04750810857299359,0.03750810857299359,0.01,True,74,21,2016-10-03,2017-10-02
KO,WEC,2018-01-16,2018-03-29,short_A_long_B,0.060299795643739884,0.05029979564373988,0.01,False,72,21,2016-10-03,2017-10-02
ATO,CMS,2017-10-17,2017-11-29,long_A_short_B,0.010614394616194733,0.0006143946161947331,0.01,True,43,21,2016-10-03,2017-10-02
ATO,CMS,2017-11-30,2018-03-29,short_A_long_B,-0.003029859747260333,-0.013029859747260333,0.01,False,119,21,2016-10-03,2017-10-02
ES,PCG,2017-10-04,2017-10-12,long_A_short_B,0.08239456912271148,0.07239456912271149,0.01,True,8,21,2016-10-03,2017-10-02
ES,PCG,2017-10-13,2018-03-29,short_A_long_B,-0.21028024896645048,-0.2202802489664505,0.01,False,167,21,2016-10-03,2017-10-02
AJG,CPRT,2017-10-09,2017-11-16,long_A_short_B,0.05312749290607566,0.043127492906075655,0.01,True,38,21,2016-10-03,2017-10-02
AJG,CPRT,2017-11-17,2017-12-13,short_A_long_B,0.2560917662400958,0.24609176624009577,0.01,True,26,21,2016-10-03,2017-10-02
AJG,CPRT,2017-12-14,2018-01-30,long_A_short_B,0.07485572717480515,0.06485572717480516,0.01,True,47,21,2016-10-03,2017-10-02
AJG,CPRT,2018-02-01,2018-02-14,short_A_long_B,0.04365285974399569,0.033652859743995685,0.01,True,13,21,2016-10-03,2017-10-02
AJG,CPRT,2018-02-22,2018-03-29,long_A_short_B,-0.08755321954753059,-0.09755321954753059,0.01,False,35,21,2016-10-03,2017-10-02
CMS,PPL,2017-10-05,2018-03-29,short_A_long_B,-0.20983022633533255,-0.21983022633533256,0.01,False,175,21,2016-10-03,2017-10-02
ES,PNW,2017-10-16,2017-10-26,long_A_short_B,0.007024835801156204,-0.0029751641988437962,0.01,True,10,21,2016-10-03,2017-10-02
ES,PNW,2017-11-01,2018-03-29,short_A_long_B,-0.034924495569075065,-0.04492449556907507,0.01,False,148,21,2016-10-03,2017-10-02
ED,DUK,2017-10-04,2017-10-11,short_A_long_B,0.009768516116356096,-0.00023148388364390392,0.01,True,7,21,2016-10-03,2017-10-02
ED,DUK,2017-10-16,2017-10-24,long_A_short_B,0.02525429690711123,0.015254296907111229,0.01,True,8,21,2016-10-03,2017-10-02
ED,DUK,2017-11-06,2018-03-29,short_A_long_B,-0.017499110543882646,-0.027499110543882647,0.01,False,143,21,2016-10-03,2017-10-02
EIX,PCG,2017-10-12,2018-03-29,short_A_long_B,-0.13344330076559408,-0.14344330076559408,0.01,False,168,21,2016-10-03,2017-10-02
NWSA,NWS,2017-11-21,2018-04-30,short_A_long_B,0.006706225831283552,-0.003293774168716448,0.01,False,160,22,2016-11-01,2017-11-01
GOOGL,GOOG,2017-12-04,2018-04-30,long_A_short_B,-0.012043418235797354,-0.022043418235797356,0.01,False,147,22,2016-11-01,2017-11-01
CMS,ES,2017-11-06,2017-11-10,long_A_short_B,0.019581957093642632,0.009581957093642632,0.01,True,4,22,2016-11-01,2017-11-01
CMS,ES,2017-11-20,2017-12-01,short_A_long_B,0.01822721015772899,0.00822721015772899,0.01,True,11,22,2016-11-01,2017-11-01
CMS,ES,2017-12-15,2018-04-30,long_A_short_B,0.025542354054220007,0.015542354054220007,0.01,False,136,22,2016-11-01,2017-11-01
AEP,ED,2017-11-09,2018-01-12,short_A_long_B,0.020311615738582867,0.010311615738582866,0.01,True,64,22,2016-11-01,2017-11-01
LNT,DUK,2017-11-09,2017-11-17,long_A_short_B,0.009386748059627026,-0.0006132519403729744,0.01,True,8,22,2016-11-01,2017-11-01
LNT,DUK,2017-11-30,2018-04-30,short_A_long_B,-0.05824587465070952,-0.06824587465070951,0.01,False,151,22,2016-11-01,2017-11-01
LNT,WEC,2017-11-07,2017-11-24,short_A_long_B,0.01086562472601349,0.0008656247260134895,0.01,True,17,22,2016-11-01,2017-11-01
LNT,WEC,2017-12-13,2018-01-03,short_A_long_B,0.022676048150293115,0.012676048150293115,0.01,True,21,22,2016-11-01,2017-11-01
LNT,WEC,2018-01-12,2018-04-13,long_A_short_B,0.07227219825602471,0.06227219825602471,0.01,True,91,22,2016-11-01,2017-11-01
LNT,WEC,2018-04-23,2018-04-30,short_A_long_B,-0.005064430791752672,-0.015064430791752672,0.01,False,7,22,2016-11-01,2017-11-01
DUK,SRE,2017-11-06,2017-11-24,long_A_short_B,0.02181186915387845,0.011811869153878449,0.01,True,18,22,2016-11-01,2017-11-01
DUK,SRE,2017-11-30,2018-04-30,long_A_short_B,-0.02917859528671196,-0.03917859528671196,0.01,False,151,22,2016-11-01,2017-11-01
DUK,WEC,2017-11-06,2017-11-09,long_A_short_B,0.011456152886391235,0.0014561528863912352,0.01,True,3,22,2016-11-01,2017-11-01
DUK,WEC,2017-11-24,2018-04-30,long_A_short_B,-0.032845235058077016,-0.04284523505807702,0.01,False,157,22,2016-11-01,2017-11-01
ES,PPL,2017-11-03,2018-04-30,short_A_long_B,-0.15069281022032333,-0.16069281022032333,0.01,False,178,22,2016-11-01,2017-11-01
ED,DUK,2017-11-20,2017-11-22,long_A_short_B,0.00801332742171823,-0.0019866725782817698,0.01,True,2,22,2016-11-01,2017-11-01
ED,DUK,2017-11-28,2018-04-30,short_A_long_B,-0.0076413489492888065,-0.01764134894928881,0.01,False,153,22,2016-11-01,2017-11-01
AEP,CMS,2017-11-21,2018-04-30,short_A_long_B,0.0413358307604037,0.0313358307604037,0.01,True,160,22,2016-11-01,2017-11-01
LNT,ED,2017-11-17,2017-12-01,short_A_long_B,0.016780104381129535,0.0067801043811295345,0.01,True,14,22,2016-11-01,2017-11-01
LNT,ED,2017-12-06,2018-03-27,long_A_short_B,0.032213324152507106,0.022213324152507104,0.01,True,111,22,2016-11-01,2017-11-01
LNT,ED,2018-03-29,2018-04-30,short_A_long_B,-0.03133213893138875,-0.041332138931388755,0.01,False,32,22,2016-11-01,2017-11-01
FRT,REG,2018-01-26,2018-02-13,short_A_long_B,0.010055484733713094,5.5484733713093495e-05,0.01,True,18,22,2016-11-01,2017-11-01
FRT,REG,2018-02-16,2018-04-30,short_A_long_B,-0.006978378516857564,-0.016978378516857566,0.01,False,73,22,2016-11-01,2017-11-01
DTE,PNW,2017-11-10,2018-04-30,short_A_long_B,-0.025716922433239864,-0.035716922433239866,0.01,False,171,22,2016-11-01,2017-11-01
LNT,ETR,2017-11-07,2018-04-30,short_A_long_B,-0.02766922975814068,-0.03766922975814068,0.01,False,174,22,2016-11-01,2017-11-01
NI,XEL,2017-11-03,2017-11-10,short_A_long_B,0.017057214336635873,0.007057214336635873,0.01,True,7,22,2016-11-01,2017-11-01
NI,XEL,2017-11-14,2018-04-30,long_A_short_B,-0.020042732479361502,-0.030042732479361504,0.01,False,167,22,2016-11-01,2017-11-01
ATO,PNW,2017-11-20,2018-04-30,short_A_long_B,-0.06961857643177205,-0.07961857643177205,0.01,False,161,22,2016-11-01,2017-11-01
NXPI,WEC,2017-11-09,2018-01-10,long_A_short_B,0.09293491221854588,0.08293491221854589,0.01,True,62,22,2016-11-01,2017-11-01
NXPI,WEC,2018-01-18,2018-04-30,short_A_long_B,0.151048481827054,0.14104848182705398,0.01,False,102,22,2016-11-01,2017-11-01
DTE,ES,2017-11-03,2017-11-28,long_A_short_B,0.014965991899654307,0.004965991899654307,0.01,True,25,22,2016-11-01,2017-11-01
DTE,ES,2017-11-30,2018-01-02,short_A_long_B,0.035236232550640345,0.025236232550640343,0.01,True,33,22,2016-11-01,2017-11-01
DTE,ES,2018-01-09,2018-02-16,long_A_short_B,0.03870336370837013,0.02870336370837013,0.01,True,38,22,2016-11-01,2017-11-01
KO,NXPI,2017-11-09,2018-04-30,short_A_long_B,-0.04093444876731267,-0.05093444876731267,0.01,False,172,22,2016-11-01,2017-11-01
GOOGL,GOOG,2017-12-08,2018-05-10,long_A_short_B,-0.004907464484255941,-0.014907464484255941,0.01,True,153,23,2016-12-01,2017-12-01
GOOGL,GOOG,2018-05-23,2018-05-31,short_A_long_B,-0.008019756772846165,-0.018019756772846167,0.01,False,8,23,2016-12-01,2017-12-01
CMS,DUK,2017-12-08,2017-12-14,short_A_long_B,0.010476646673619805,0.00047664667361980474,0.01,True,6,23,2016-12-01,2017-12-01
CMS,DUK,2018-04-30,2018-05-31,short_A_long_B,-0.011087791412702108,-0.02108779141270211,0.01,False,31,23,2016-12-01,2017-12-01
NWSA,NWS,2017-12-05,2017-12-11,short_A_long_B,0.009562640546685097,-0.000437359453314903,0.01,True,6,23,2016-12-01,2017-12-01
NWSA,NWS,2017-12-15,2018-01-23,long_A_short_B,0.004380835359824475,-0.005619164640175525,0.01,True,39,23,2016-12-01,2017-12-01
NWSA,NWS,2018-05-10,2018-05-31,short_A_long_B,0.020291275595814784,0.010291275595814784,0.01,False,21,23,2016-12-01,2017-12-01
CMS,ED,2017-12-20,2018-04-02,long_A_short_B,0.04631262123970126,0.036312621239701255,0.01,True,103,23,2016-12-01,2017-12-01
CMS,ED,2018-04-25,2018-05-31,short_A_long_B,-0.025588919293022094,-0.035588919293022096,0.01,False,36,23,2016-12-01,2017-12-01
CMS,PNW,2018-05-01,2018-05-31,short_A_long_B,0.00688159411749123,-0.0031184058825087704,0.01,False,30,23,2016-12-01,2017-12-01
ED,DUK,2017-12-08,2018-05-31,short_A_long_B,0.018120686413116482,0.008120686413116482,0.01,False,174,23,2016-12-01,2017-12-01
DUK,PNW,2017-12-11,2017-12-13,long_A_short_B,0.011881645864357915,0.0018816458643579146,0.01,True,2,23,2016-12-01,2017-12-01
