ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
FITB,KEY,2023-03-13,2023-08-31,short_A_long_B,-0.0011983396124477519,-0.011198339612447752,0.01,False,171,86,2022-03-01,2023-03-01
RSG,WM,2023-03-30,2023-04-28,long_A_short_B,0.048419925850541334,0.03841992585054133,0.01,True,29,86,2022-03-01,2023-03-01
RSG,WM,2023-07-17,2023-08-31,short_A_long_B,-0.025421217405285468,-0.03542121740528547,0.01,False,45,86,2022-03-01,2023-03-01
AEE,DUK,2023-04-10,2023-05-15,short_A_long_B,0.036700157072326545,0.026700157072326543,0.01,True,35,86,2022-03-01,2023-03-01
AEE,DUK,2023-06-14,2023-08-09,short_A_long_B,0.04377495778228002,0.03377495778228002,0.01,True,56,86,2022-03-01,2023-03-01
ES,XEL,2023-04-12,2023-08-31,long_A_short_B,-0.003510393237693754,-0.013510393237693754,0.01,False,141,86,2022-03-01,2023-03-01
AEP,ES,2023-08-10,2023-08-31,short_A_long_B,-0.004932354548433215,-0.014932354548433216,0.01,False,21,86,2022-03-01,2023-03-01
KO,CL,2023-04-10,2023-04-28,short_A_long_B,0.04551544987855527,0.03551544987855527,0.01,True,18,86,2022-03-01,2023-03-01
KO,CL,2023-05-03,2023-06-27,long_A_short_B,0.03514268567846557,0.025142685678465566,0.01,True,55,86,2022-03-01,2023-03-01
AEE,ES,2023-04-14,2023-08-31,short_A_long_B,-0.07198506234703672,-0.08198506234703672,0.01,False,139,86,2022-03-01,2023-03-01
MA,V,2023-07-24,2023-08-31,short_A_long_B,0.003046090590542727,-0.006953909409457273,0.01,False,38,86,2022-03-01,2023-03-01
MCO,SPGI,2023-04-26,2023-07-11,short_A_long_B,0.053258682192452556,0.043258682192452554,0.01,True,76,86,2022-03-01,2023-03-01
MCO,SPGI,2023-07-28,2023-08-22,short_A_long_B,0.050697151882437064,0.04069715188243706,0.01,True,25,86,2022-03-01,2023-03-01
AVB,UDR,2023-04-13,2023-08-31,short_A_long_B,-0.08823523838725866,-0.09823523838725866,0.01,False,140,86,2022-03-01,2023-03-01
