month,dm_ret_before,dm_ret_after,rf_rate,cointegration_ret_before,cointegration_ret_after,copula_ret_before,copula_ret_after
2019-05-01,-0.0036110498977619493,-0.005244593612794911,0.0019256210146872347,-0.00895979658143019,-0.012138136930228041,-0.001748169298887327,-0.005612934516730773
2019-06-01,-0.004506325403653627,-0.0064293733273364,0.001777254938181616,-0.01195460067055659,-0.014620214815989989,-0.004160188635670672,-0.007192606129849712
2019-07-01,-0.0034779461607275706,-0.005144871480496529,0.0017187655539827192,-0.010024804019294353,-0.012667528890772934,-0.0032061515017705595,-0.006858176219103226
2019-08-01,-0.0027056205125598914,-0.005395962206043191,0.0015960712587940688,-0.016428423585599674,-0.019685192811394508,-0.004043742949864598,-0.007389154080350141
2019-09-01,-0.002313364824599838,-0.004613509177930637,0.0015484852377332103,-0.010593434333465301,-0.014160234787249773,-0.0036185582994200083,-0.00684796349767609
2019-10-01,-0.0032707479595759635,-0.005322011450911175,0.0013483785184444641,-0.00843934569678065,-0.01167933971119598,-0.00271407250584288,-0.005855300808346593
2019-11-01,0.00033737711272813453,-0.0018651676858519536,0.0012630009050477176,-0.0064927373268972065,-0.009614691794858833,0.00029000274288907375,-0.003150277224035065
2019-12-01,-0.001549821831413455,-0.003121353150950124,0.0012553356388507186,-0.0024732108367624263,-0.005227347377353191,-0.0004296724971041517,-0.0038630190556153757
2020-01-01,-0.0008494635000521753,-0.0026989025077375443,0.0012466180550512185,-0.0022634713031202377,-0.005153998714003997,-0.0009936531452585595,-0.004641349219605694
2020-02-01,0.0021247412085014902,-0.0003462745301633374,0.0012419000974146265,0.004162441918116611,0.0004986862255049865,-0.003702775337181965,-0.006844588176580954
2020-03-01,0.029203390563779297,0.021774155691755784,0.00020274724152035735,0.06563581346265879,0.055783387506432226,-0.009834340803294143,-0.012623354218514139
2020-04-01,0.010719607742052903,0.006437600745699659,9.018145196204586e-05,-0.0006630117549184146,-0.006100200428855837,-0.00408185082258907,-0.007098410276588675
2020-05-01,-0.00024388437503795445,-0.00285722131134651,9.253144961262061e-05,-0.006024624567058772,-0.009953729757571765,0.000986816979304141,-0.0031999161404888898
2020-06-01,-0.00014942833738401431,-0.0030222812367022614,0.00012085906114288716,-0.011984517529236587,-0.014631257677124,0.003880063047423115,-0.000702767646305867
2020-07-01,-0.0011072348294844752,-0.004070559392170543,9.350712830675183e-05,-0.021402490582355452,-0.023991804038652958,0.0031931606765926244,-0.0011558602677108735
2020-08-01,-0.0023462974981099467,-0.0048171664839543925,7.611603375212717e-05,-0.015583147437051324,-0.01797280493900128,-0.001828865962522001,-0.0053696323805871825
2020-09-01,0.0016745523357229095,-0.0008292080297961586,7.881178839896918e-05,-0.011427107597959006,-0.014179723717391917,0.0006311660625409676,-0.00325231312070454
2020-10-01,0.002709097288821167,6.672492284148096e-05,7.37174202641653e-05,-0.005540447930742921,-0.009179596285236196,0.005449885095937354,0.0006342620893935082
