ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start,beta
NWSA,NWS,2020-05-29,2020-06-30,long_B_short_A,0.009218549040358556,-0.0007814509596414439,0.01,False,32,48,2019-01-02,2020-01-02,1.0837844507734513
HBAN,TFC,2020-01-02,2020-03-13,short_B_long_A,-0.2608515567032909,-0.2708515567032909,0.01,True,71,48,2019-01-02,2020-01-02,3.776921422371562
HBAN,TFC,2020-03-16,2020-03-18,long_B_short_A,0.2901530337006859,0.2801530337006859,0.01,True,2,48,2019-01-02,2020-01-02,3.776921422371562
HBAN,TFC,2020-03-19,2020-06-30,short_B_long_A,0.12304067837390058,0.11304067837390058,0.01,False,103,48,2019-01-02,2020-01-02,3.776921422371562
LNT,FE,2020-01-13,2020-04-20,long_B_short_A,0.02195624146192464,0.011956241461924639,0.01,True,98,48,2019-01-02,2020-01-02,0.8819584218040366
LNT,FE,2020-04-24,2020-06-30,long_B_short_A,-0.04361145128514847,-0.05361145128514847,0.01,False,67,48,2019-01-02,2020-01-02,0.8819584218040366
AEE,ED,2020-01-13,2020-03-16,long_B_short_A,0.09835931060859807,0.08835931060859807,0.01,True,63,48,2019-01-02,2020-01-02,1.272153128881588
AEE,ED,2020-03-17,2020-03-19,short_B_long_A,0.040680820576856916,0.030680820576856914,0.01,True,2,48,2019-01-02,2020-01-02,1.272153128881588
AEE,ED,2020-03-23,2020-04-20,long_B_short_A,0.06182427606959279,0.051824276069592785,0.01,True,28,48,2019-01-02,2020-01-02,1.272153128881588
AEE,ED,2020-04-22,2020-06-30,long_B_short_A,-0.03696039135893252,-0.04696039135893252,0.01,False,69,48,2019-01-02,2020-01-02,1.272153128881588
CBOE,ICE,2020-01-13,2020-02-04,short_B_long_A,0.0980945490351755,0.08809454903517551,0.01,True,22,48,2019-01-02,2020-01-02,0.755828309310156
CBOE,ICE,2020-02-05,2020-02-19,long_B_short_A,0.047682869128504404,0.0376828691285044,0.01,True,14,48,2019-01-02,2020-01-02,0.755828309310156
CBOE,ICE,2020-02-25,2020-03-02,long_B_short_A,0.037635349019280284,0.027635349019280282,0.01,True,6,48,2019-01-02,2020-01-02,0.755828309310156
CBOE,ICE,2020-03-04,2020-06-30,short_B_long_A,-0.10576454776582646,-0.11576454776582645,0.01,False,118,48,2019-01-02,2020-01-02,0.755828309310156
KO,EVRG,2020-01-23,2020-03-12,short_B_long_A,0.02862868008876765,0.018628680088767648,0.01,True,49,48,2019-01-02,2020-01-02,0.9251768896056234
KO,EVRG,2020-03-16,2020-03-17,long_B_short_A,0.12123638565955211,0.11123638565955211,0.01,True,1,48,2019-01-02,2020-01-02,0.9251768896056234
KO,EVRG,2020-03-18,2020-03-20,short_B_long_A,0.051178487112431004,0.041178487112431,0.01,True,2,48,2019-01-02,2020-01-02,0.9251768896056234
KO,EVRG,2020-03-23,2020-03-24,long_B_short_A,0.08234118618302963,0.07234118618302963,0.01,True,1,48,2019-01-02,2020-01-02,0.9251768896056234
KO,EVRG,2020-03-26,2020-04-01,short_B_long_A,0.07013116822486394,0.06013116822486394,0.01,True,6,48,2019-01-02,2020-01-02,0.9251768896056234
KO,EVRG,2020-04-08,2020-06-30,short_B_long_A,-0.03839432281916203,-0.04839432281916203,0.01,False,83,48,2019-01-02,2020-01-02,0.9251768896056234
MAA,SO,2020-01-02,2020-03-10,short_B_long_A,0.09044970143225559,0.08044970143225559,0.01,True,68,48,2019-01-02,2020-01-02,0.4219455777381202
MAA,SO,2020-03-11,2020-03-17,long_B_short_A,0.03742651190271508,0.027426511902715077,0.01,True,6,48,2019-01-02,2020-01-02,0.4219455777381202
MAA,SO,2020-03-18,2020-06-25,short_B_long_A,0.2946975343898962,0.2846975343898962,0.01,True,99,48,2019-01-02,2020-01-02,0.4219455777381202
KMB,RSG,2020-01-03,2020-03-12,short_B_long_A,0.11504423007374273,0.10504423007374274,0.01,True,69,48,2019-01-02,2020-01-02,0.5666215292241716
KMB,RSG,2020-03-16,2020-06-05,long_B_short_A,0.16375402876472095,0.15375402876472094,0.01,True,81,48,2019-01-02,2020-01-02,0.5666215292241716
KMB,RSG,2020-06-11,2020-06-30,long_B_short_A,-0.008300193002708282,-0.018300193002708284,0.01,False,19,48,2019-01-02,2020-01-02,0.5666215292241716
AEP,AVB,2020-01-07,2020-06-30,long_B_short_A,0.009468733726301998,-0.0005312662736980025,0.01,False,175,48,2019-01-02,2020-01-02,1.755836377786912
AJG,NDAQ,2020-01-29,2020-02-05,short_B_long_A,0.03657551373118126,0.026575513731181256,0.01,True,7,48,2019-01-02,2020-01-02,0.3659504805263829
AJG,NDAQ,2020-02-11,2020-03-05,long_B_short_A,0.010447244141582386,0.00044724414158238586,0.01,True,23,48,2019-01-02,2020-01-02,0.3659504805263829
AJG,NDAQ,2020-03-11,2020-03-17,long_B_short_A,-0.0019642611399229015,-0.011964261139922902,0.01,True,6,48,2019-01-02,2020-01-02,0.3659504805263829
AJG,NDAQ,2020-03-18,2020-03-23,short_B_long_A,0.5003597357999835,0.4903597357999835,0.01,True,5,48,2019-01-02,2020-01-02,0.3659504805263829
AJG,NDAQ,2020-03-26,2020-06-30,short_B_long_A,-0.5489210874407704,-0.5589210874407704,0.01,False,96,48,2019-01-02,2020-01-02,0.3659504805263829
GL,PNC,2020-01-24,2020-03-12,long_B_short_A,0.1426878971203871,0.1326878971203871,0.01,True,48,48,2019-01-02,2020-01-02,1.3103649903463195
GL,PNC,2020-03-18,2020-03-20,long_B_short_A,0.1327942848090339,0.12279428480903391,0.01,True,2,48,2019-01-02,2020-01-02,1.3103649903463195
GL,PNC,2020-03-25,2020-05-13,long_B_short_A,0.08465863335748645,0.07465863335748646,0.01,True,49,48,2019-01-02,2020-01-02,1.3103649903463195
MCD,YUM,2020-01-06,2020-06-30,long_B_short_A,-0.09157189849424592,-0.10157189849424592,0.01,False,176,48,2019-01-02,2020-01-02,0.605555319101
CCI,XEL,2020-02-11,2020-03-09,long_B_short_A,0.016527991968252654,0.006527991968252654,0.01,True,27,48,2019-01-02,2020-01-02,0.4582875190374943
CCI,XEL,2020-03-10,2020-06-30,long_B_short_A,-0.10559721914903439,-0.11559721914903438,0.01,False,112,48,2019-01-02,2020-01-02,0.4582875190374943
ATO,CB,2020-01-13,2020-02-28,long_B_short_A,0.08567747639803105,0.07567747639803106,0.01,True,46,48,2019-01-02,2020-01-02,1.595048249163415
ATO,CB,2020-03-04,2020-06-30,long_B_short_A,0.024607818401241488,0.014607818401241488,0.01,False,118,48,2019-01-02,2020-01-02,1.595048249163415
CL,TRV,2020-01-10,2020-06-30,long_B_short_A,-0.2884869786634111,-0.2984869786634111,0.01,False,172,48,2019-01-02,2020-01-02,2.4773872176759646
KMB,PEP,2020-02-21,2020-03-02,short_B_long_A,0.05662655107494631,0.04662655107494631,0.01,True,10,48,2019-01-02,2020-01-02,0.9710080214029995
KMB,PEP,2020-03-09,2020-04-07,long_B_short_A,0.0706875629119402,0.0606875629119402,0.01,True,29,48,2019-01-02,2020-01-02,0.9710080214029995
KMB,PEP,2020-04-22,2020-06-30,long_B_short_A,0.007570733777362649,-0.0024292662226373515,0.01,False,69,48,2019-01-02,2020-01-02,0.9710080214029995
AJG,DGX,2020-01-31,2020-03-09,long_B_short_A,0.07574462420770867,0.06574462420770867,0.01,True,38,48,2019-01-02,2020-01-02,1.0633847126057425
AJG,DGX,2020-03-11,2020-03-19,long_B_short_A,0.09115455328674488,0.08115455328674488,0.01,True,8,48,2019-01-02,2020-01-02,1.0633847126057425
AJG,DGX,2020-03-20,2020-04-17,long_B_short_A,0.09913075755071643,0.08913075755071644,0.01,True,28,48,2019-01-02,2020-01-02,1.0633847126057425
AJG,DGX,2020-04-21,2020-06-18,short_B_long_A,0.11929657293889576,0.10929657293889576,0.01,True,58,48,2019-01-02,2020-01-02,1.0633847126057425
GL,JPM,2020-01-06,2020-01-24,short_B_long_A,0.03781931470240378,0.02781931470240378,0.01,True,18,48,2019-01-02,2020-01-02,1.3221799728447388
GL,JPM,2020-02-13,2020-02-27,long_B_short_A,0.06090870940305659,0.05090870940305659,0.01,True,14,48,2019-01-02,2020-01-02,1.3221799728447388
GL,JPM,2020-03-10,2020-04-14,short_B_long_A,0.050889988577827006,0.040889988577827004,0.01,True,35,48,2019-01-02,2020-01-02,1.3221799728447388
GL,JPM,2020-04-27,2020-05-06,long_B_short_A,0.0833025921865411,0.0733025921865411,0.01,True,9,48,2019-01-02,2020-01-02,1.3221799728447388
GL,JPM,2020-05-13,2020-06-30,short_B_long_A,0.025124983280028615,0.015124983280028615,0.01,False,48,48,2019-01-02,2020-01-02,1.3221799728447388
GL,USB,2020-01-07,2020-06-30,long_B_short_A,-0.22767988115598148,-0.2376798811559815,0.01,False,175,48,2019-01-02,2020-01-02,0.4003937091555759
HON,PAYX,2020-03-16,2020-03-18,long_B_short_A,0.14863802275002636,0.13863802275002635,0.01,True,2,48,2019-01-02,2020-01-02,0.43242273340627857
HON,PAYX,2020-03-20,2020-05-07,long_B_short_A,0.23180413567702643,0.22180413567702642,0.01,True,48,48,2019-01-02,2020-01-02,0.43242273340627857
NWSA,NWS,2020-03-09,2020-03-17,short_B_long_A,0.054241204870066326,0.044241204870066324,0.01,True,8,49,2019-02-01,2020-02-03,1.0794287397535602
NWSA,NWS,2020-03-18,2020-03-24,long_B_short_A,0.07542799917231413,0.06542799917231414,0.01,True,6,49,2019-02-01,2020-02-03,1.0794287397535602
NWSA,NWS,2020-04-07,2020-05-18,short_B_long_A,0.03493250869510303,0.02493250869510303,0.01,True,41,49,2019-02-01,2020-02-03,1.0794287397535602
NWSA,NWS,2020-05-29,2020-07-31,long_B_short_A,-0.0006317826827697409,-0.010631782682769741,0.01,False,63,49,2019-02-01,2020-02-03,1.0794287397535602
AVB,CPT,2020-02-27,2020-03-10,short_B_long_A,0.12741734364655397,0.11741734364655397,0.01,True,12,49,2019-02-01,2020-02-03,0.6182961797401887
AVB,CPT,2020-03-11,2020-03-18,long_B_short_A,-0.058566674446915074,-0.06856667444691507,0.01,True,7,49,2019-02-01,2020-02-03,0.6182961797401887
AVB,CPT,2020-03-19,2020-07-31,short_B_long_A,-0.24429104182588351,-0.2542910418258835,0.01,False,134,49,2019-02-01,2020-02-03,0.6182961797401887
NEE,SO,2020-02-06,2020-03-18,long_B_short_A,0.015537464714845017,0.005537464714845017,0.01,True,41,49,2019-02-01,2020-02-03,0.928945475133707
NEE,SO,2020-03-19,2020-07-31,long_B_short_A,-0.2514897120528514,-0.26148971205285143,0.01,False,134,49,2019-02-01,2020-02-03,0.928945475133707
AON,NDAQ,2020-02-06,2020-03-05,long_B_short_A,-0.005292730451397882,-0.015292730451397882,0.01,True,28,49,2019-02-01,2020-02-03,0.1757429188190372
AON,NDAQ,2020-03-09,2020-03-16,short_B_long_A,1.0297414423285653,1.0197414423285653,0.01,True,7,49,2019-02-01,2020-02-03,0.1757429188190372
AON,NDAQ,2020-03-17,2020-03-24,short_B_long_A,0.7304666509650506,0.7204666509650506,0.01,True,7,49,2019-02-01,2020-02-03,0.1757429188190372
AON,NDAQ,2020-03-25,2020-07-31,short_B_long_A,-2.673425191318482,-2.6834251913184817,0.01,False,128,49,2019-02-01,2020-02-03,0.1757429188190372
HBAN,TFC,2020-02-05,2020-03-16,short_B_long_A,-0.2771485807494534,-0.28714858074945343,0.01,True,40,49,2019-02-01,2020-02-03,3.957782799721982
HBAN,TFC,2020-03-19,2020-07-31,short_B_long_A,0.15748795884215294,0.14748795884215293,0.01,False,134,49,2019-02-01,2020-02-03,3.957782799721982
CMS,ES,2020-02-20,2020-07-31,short_B_long_A,-0.025486462777294182,-0.035486462777294184,0.01,False,162,49,2019-02-01,2020-02-03,1.4416421594654536
MDLZ,WM,2020-03-16,2020-03-24,short_B_long_A,0.06695658696208318,0.056956586962083174,0.01,True,8,49,2019-02-01,2020-02-03,2.418713782470003
MDLZ,WM,2020-03-25,2020-06-05,long_B_short_A,-0.1133480843483805,-0.1233480843483805,0.01,True,72,49,2019-02-01,2020-02-03,2.418713782470003
MDLZ,WM,2020-06-16,2020-07-31,long_B_short_A,-0.11157422068584763,-0.12157422068584763,0.01,False,45,49,2019-02-01,2020-02-03,2.418713782470003
AON,AJG,2020-02-24,2020-03-18,short_B_long_A,0.4391185754894643,0.4291185754894643,0.01,True,23,49,2019-02-01,2020-02-03,0.4252498509649278
AON,AJG,2020-03-26,2020-04-08,short_B_long_A,0.010326797790138925,0.000326797790138925,0.01,True,13,49,2019-02-01,2020-02-03,0.4252498509649278
AON,AJG,2020-04-14,2020-04-29,long_B_short_A,-0.028056332658172124,-0.038056332658172126,0.01,True,15,49,2019-02-01,2020-02-03,0.4252498509649278
AON,AJG,2020-05-01,2020-05-07,long_B_short_A,0.08573818742261305,0.07573818742261305,0.01,True,6,49,2019-02-01,2020-02-03,0.4252498509649278
AON,AJG,2020-05-14,2020-05-19,long_B_short_A,0.03959573818005672,0.029595738180056716,0.01,True,5,49,2019-02-01,2020-02-03,0.4252498509649278
AON,AJG,2020-05-22,2020-07-31,short_B_long_A,-0.36458595154728224,-0.37458595154728225,0.01,False,70,49,2019-02-01,2020-02-03,0.4252498509649278
CRH,ITW,2020-02-05,2020-07-31,short_B_long_A,-0.04758843466627818,-0.05758843466627818,0.01,False,177,49,2019-02-01,2020-02-03,4.533103681462329
ABT,WTW,2020-02-03,2020-03-13,short_B_long_A,0.00423123710576874,-0.00576876289423126,0.01,True,39,49,2019-02-01,2020-02-03,2.4563484377225824
ABT,WTW,2020-03-17,2020-03-23,long_B_short_A,0.36748220631595563,0.3574822063159556,0.01,True,6,49,2019-02-01,2020-02-03,2.4563484377225824
ABT,WTW,2020-03-24,2020-03-26,short_B_long_A,0.09824347505936455,0.08824347505936456,0.01,True,2,49,2019-02-01,2020-02-03,2.4563484377225824
ABT,WTW,2020-03-31,2020-06-04,long_B_short_A,-0.10095447518914574,-0.11095447518914574,0.01,True,65,49,2019-02-01,2020-02-03,2.4563484377225824
ABT,WTW,2020-06-08,2020-07-31,long_B_short_A,-0.19182489094421593,-0.20182489094421593,0.01,False,53,49,2019-02-01,2020-02-03,2.4563484377225824
DOV,SWK,2020-02-20,2020-06-26,long_B_short_A,0.09130564789373888,0.08130564789373888,0.01,True,127,49,2019-02-01,2020-02-03,1.1284876742133023
PSA,YUM,2020-02-26,2020-05-15,long_B_short_A,-0.025757108545147483,-0.035757108545147485,0.01,True,79,49,2019-02-01,2020-02-03,0.46767673191547665
PSA,YUM,2020-05-29,2020-06-04,long_B_short_A,0.06346442910701651,0.05346442910701651,0.01,True,6,49,2019-02-01,2020-02-03,0.46767673191547665
PSA,YUM,2020-06-25,2020-07-20,long_B_short_A,0.06502529257136662,0.05502529257136662,0.01,True,25,49,2019-02-01,2020-02-03,0.46767673191547665
