Date,Daily_RF
2018-11-21,9.217934820515694e-05
2018-11-23,9.210180310037508e-05
2018-11-26,9.190791524482655e-05
2018-11-27,9.229567227708735e-05
2018-11-28,9.15976861455281e-05
2018-11-29,9.062804831261317e-05
2018-11-30,9.055047301020913e-05
2018-12-03,8.977458140324579e-05
2018-12-04,9.27609346073055e-05
2018-12-06,9.229567227708735e-05
2018-12-07,9.179157985195197e-05
2018-12-10,9.140377375693731e-05
2018-12-11,9.295477171633593e-05
2018-12-12,9.314860863818275e-05
2018-12-13,9.268339157708638e-05
2018-12-14,9.287724170148337e-05
2018-12-17,9.179157985195197e-05
2018-12-18,9.132621355623094e-05
2018-12-19,9.171402719987398e-05
2018-12-20,9.15976861455281e-05
2018-12-21,9.140377375693731e-05
2018-12-24,9.152012047342062e-05
2018-12-26,9.334243613068338e-05
2018-12-27,9.210180310037508e-05
2018-12-28,9.132621355623094e-05
2018-12-31,9.024012894864875e-05
2019-01-02,9.27609346073055e-05
2019-01-03,9.237322285304828e-05
2019-01-04,9.24895412650617e-05
2019-01-07,9.229567227708735e-05
2019-01-08,9.411763334465917e-05
2019-01-09,9.373005359014641e-05
2019-01-10,9.314860863818275e-05
2019-01-11,9.295477171633593e-05
2019-01-14,9.256707882410176e-05
2019-01-15,9.345871701049724e-05
2019-01-16,9.268339157708638e-05
2019-01-17,9.237322285304828e-05
2019-01-18,9.210180310037508e-05
2019-01-22,9.198547336830565e-05
2019-01-23,9.229567227708735e-05
2019-01-24,9.043409797593327e-05
2019-01-25,9.132621355623094e-05
2019-01-28,9.152012047342062e-05
2019-01-29,9.27609346073055e-05
2019-01-30,9.27609346073055e-05
2019-01-31,9.179157985195197e-05
2019-02-01,9.179157985195197e-05
2019-02-04,9.15976861455281e-05
2019-02-05,9.27609346073055e-05
2019-02-06,9.27609346073055e-05
2019-02-07,9.237322285304828e-05
2019-02-08,9.27609346073055e-05
2019-02-11,9.314860863818275e-05
2019-02-12,9.326490441674551e-05
2019-02-13,9.307107315259522e-05
2019-02-14,9.307107315259522e-05
2019-02-15,9.295477171633593e-05
2019-02-19,9.307107315259522e-05
2019-02-20,9.345871701049724e-05
2019-02-21,9.392384355977335e-05
2019-02-22,9.384632315834196e-05
2019-02-25,9.384632315834196e-05
2019-02-26,9.411763334465917e-05
2019-02-27,9.384632315834196e-05
2019-02-28,9.345871701049724e-05
2019-03-01,9.326490441674551e-05
2019-03-04,9.314860863818275e-05
2019-03-05,9.411763334465917e-05
2019-03-06,9.431140446491959e-05
2019-03-07,9.392384355977335e-05
2019-03-08,9.384632315834196e-05
2019-03-11,9.334243613068338e-05
2019-03-12,9.392384355977335e-05
2019-03-13,9.365252941839763e-05
2019-03-14,9.365252941839763e-05
2019-03-15,9.365252941839763e-05
2019-03-18,9.353624495322954e-05
2019-03-19,9.431140446491959e-05
2019-03-20,9.442766630995969e-05
2019-03-21,9.442766630995969e-05
2019-03-22,9.404011671354517e-05
2019-03-25,9.373005359014641e-05
2019-03-26,9.431140446491959e-05
2019-03-27,9.326490441674551e-05
2019-03-28,9.295477171633593e-05
2019-03-29,9.132621355623094e-05
2019-04-01,9.113228795487593e-05
2019-04-02,9.295477171633593e-05
2019-04-03,9.307107315259522e-05
2019-04-04,9.295477171633593e-05
2019-04-05,9.295477171633593e-05
2019-04-08,9.27609346073055e-05
2019-04-09,9.27609346073055e-05
2019-04-10,9.268339157708638e-05
2019-04-11,9.27609346073055e-05
2019-04-12,9.314860863818275e-05
2019-04-15,9.256707882410176e-05
2019-04-16,9.326490441674551e-05
2019-04-17,9.334243613068338e-05
2019-04-18,9.27609346073055e-05
2019-04-22,9.314860863818275e-05
2019-04-23,9.373005359014641e-05
2019-04-24,9.314860863818275e-05
2019-04-25,9.27609346073055e-05
2019-04-26,9.256707882410176e-05
2019-04-29,9.256707882410176e-05
2019-04-30,9.287724170148337e-05
2019-05-01,9.268339157708638e-05
2019-05-02,9.307107315259522e-05
2019-05-03,9.287724170148337e-05
2019-05-06,9.268339157708638e-05
2019-05-07,9.287724170148337e-05
2019-05-08,9.295477171633593e-05
2019-05-09,9.295477171633593e-05
2019-05-10,9.295477171633593e-05
2019-05-13,9.217934820515694e-05
2019-05-14,9.229567227708735e-05
2019-05-15,9.217934820515694e-05
2019-05-16,9.171402719987398e-05
2019-05-17,9.140377375693731e-05
2019-05-20,9.101592991300755e-05
2019-05-21,9.140377375693731e-05
2019-05-22,9.101592991300755e-05
2019-05-23,9.03565096483927e-05
2019-05-24,8.977458140324579e-05
2019-05-28,9.016254609317542e-05
2019-05-29,9.016254609317542e-05
2019-05-30,9.062804831261317e-05
2019-05-31,8.996856384535512e-05
2019-06-03,8.946417689981168e-05
2019-06-04,9.004615972774133e-05
2019-06-05,8.965818370465506e-05
2019-06-06,8.849402891297764e-05
2019-06-07,8.694128397279677e-05
2019-06-10,8.713541365668043e-05
2019-06-11,8.686363685628251e-05
2019-06-12,8.499951304719033e-05
2019-06-13,8.402827723541506e-05
2019-06-14,8.34454146767527e-05
2019-06-17,8.395056406595991e-05
2019-06-18,8.511604691863184e-05
2019-06-19,8.34454146767527e-05
2019-06-20,8.161857510935455e-05
2019-06-21,8.072428307737134e-05
2019-06-24,8.084094205407233e-05
2019-06-25,8.181295502684982e-05
2019-06-26,8.220169568340374e-05
2019-06-27,8.189070989983449e-05
2019-06-28,7.994647544662392e-05
2019-07-01,8.111312996073039e-05
2019-07-02,8.43390962310675e-05
2019-07-03,8.441680182280642e-05
